"ano","mes","soi"
1951,1,2.5
1951,2,1.5
1951,3,-0.2
1951,4,-0.5
1951,5,-1.1
1951,6,0.3
1951,7,-1.7
1951,8,-0.4
1951,9,-1.8
1951,10,-1.6
1951,11,-1.3
1951,12,-1.2
1952,1,-1.5
1952,2,-1
1952,3,0.9
1952,4,-0.4
1952,5,1.2
1952,6,1.2
1952,7,0.8
1952,8,0.1
1952,9,-0.4
1952,10,0.6
1952,11,0
1952,12,-2
1953,1,0.5
1953,2,-0.8
1953,3,-0.3
1953,4,0.3
1953,5,-2.8
1953,6,0.2
1953,7,0
1953,8,-2
1953,9,-2.1
1953,10,0.1
1953,11,-0.5
1953,12,-0.8
1954,1,1.1
1954,2,-0.5
1954,3,0.4
1954,4,1.1
1954,5,0.8
1954,6,0.2
1954,7,0.7
1954,8,1.8
1954,9,0.3
1954,10,0.4
1954,11,0.2
1954,12,2.3
1955,1,-0.9
1955,2,3.1
1955,3,1.1
1955,4,-0.2
1955,5,1.7
1955,6,2.2
1955,7,2.6
1955,8,2.4
1955,9,2.2
1955,10,2.5
1955,11,2
1955,12,1.6
1956,1,2.2
1956,2,2.7
1956,3,2.2
1956,4,1.5
1956,5,2.3
1956,6,1.8
1956,7,1.8
1956,8,2
1956,9,0.1
1956,10,2.9
1956,11,0.2
1956,12,1.8
1957,1,1
1957,2,-0.1
1957,3,0.3
1957,4,0.4
1957,5,-1.1
1957,6,0.3
1957,7,0.4
1957,8,-0.8
1957,9,-1.5
1957,10,0.1
1957,11,-1.6
1957,12,-0.5
1958,1,-3.1
1958,2,-0.8
1958,3,0.4
1958,4,0.6
1958,5,-0.8
1958,6,0.5
1958,7,0.7
1958,8,1.5
1958,9,-0.5
1958,10,0.1
1958,11,-0.7
1958,12,-1
1959,1,-1.5
1959,2,-2.3
1959,3,2.1
1959,4,0.7
1959,5,0.8
1959,6,-0.2
1959,7,-0.4
1959,8,-0.2
1959,9,0
1959,10,0.8
1959,11,1.5
1959,12,1.5
1960,1,0.2
1960,2,0.2
1960,3,1.7
1960,4,1.3
1960,5,0.9
1960,6,0.2
1960,7,0.8
1960,8,1.3
1960,9,1.1
1960,10,0.2
1960,11,0.9
1960,12,1.3
1961,1,-0.4
1961,2,1.5
1961,3,-3
1961,4,1.3
1961,5,0.5
1961,6,0.2
1961,7,0.4
1961,8,0.2
1961,9,0.1
1961,10,-0.5
1961,11,0.9
1961,12,2.5
1962,1,3.3
1962,2,-0.5
1962,3,0.2
1962,4,0.3
1962,5,1.8
1962,6,1.2
1962,7,0.1
1962,8,1
1962,9,0.7
1962,10,1.6
1962,11,0.5
1962,12,0.3
1963,1,1.7
1963,2,0.9
1963,3,1.9
1963,4,1.3
1963,5,0.6
1963,6,-0.8
1963,7,-0.2
1963,8,0
1963,9,-1
1963,10,-2
1963,11,-1.4
1963,12,-2
1964,1,-0.6
1964,2,0.1
1964,3,1.9
1964,4,1.8
1964,5,0.4
1964,6,1.2
1964,7,0.9
1964,8,2.5
1964,9,2.1
1964,10,2.2
1964,11,0.3
1964,12,-0.5
1965,1,-0.7
1965,2,0.7
1965,3,1.2
1965,4,-0.9
1965,5,0.3
1965,6,-0.9
1965,7,-3
1965,8,-1.1
1965,9,-2.2
1965,10,-1.5
1965,11,-2.4
1965,12,0.3
1966,1,-2.2
1966,2,-0.4
1966,3,-1.5
1966,4,-0.3
1966,5,-0.7
1966,6,0.5
1966,7,0.1
1966,8,1.1
1966,9,-0.4
1966,10,-0.2
1966,11,0
1966,12,-0.6
1967,1,2.8
1967,2,2.8
1967,3,2
1967,4,-0.1
1967,5,0
1967,6,1.1
1967,7,0.3
1967,8,1.2
1967,9,0.8
1967,10,0.1
1967,11,-0.7
1967,12,-0.9
1968,1,0.9
1968,2,2.1
1968,3,0.2
1968,4,0
1968,5,2.1
1968,6,1.8
1968,7,1.1
1968,8,0.4
1968,9,-0.4
1968,10,-0.1
1968,11,-0.6
1968,12,0.3
1969,1,-2.4
1969,2,-0.9
1969,3,0.7
1969,4,-0.6
1969,5,-0.4
1969,6,0.3
1969,7,-0.8
1969,8,-0.2
1969,9,-1.6
1969,10,-1.5
1969,11,-0.1
1969,12,0.7
1970,1,-1.9
1970,2,-1.7
1970,3,1
1970,4,-0.1
1970,5,0.6
1970,6,1.6
1970,7,-0.6
1970,8,1
1970,9,1.9
1970,10,1.7
1970,11,2.6
1970,12,3.2
1971,1,0.6
1971,2,3.3
1971,3,3.8
1971,4,2.8
1971,5,1.4
1971,6,0.7
1971,7,0.4
1971,8,2.5
1971,9,2.3
1971,10,2.8
1971,11,0.9
1971,12,0.4
1972,1,0.8
1972,2,1.8
1972,3,1.1
1972,4,-0.2
1972,5,-2.6
1972,6,-0.9
1972,7,-2.4
1972,8,-0.8
1972,9,-2.2
1972,10,-1.5
1972,11,-0.6
1972,12,-2.1
1973,1,-0.5
1973,2,-2.3
1973,3,1.2
1973,4,0.1
1973,5,0.7
1973,6,1.8
1973,7,1
1973,8,2.1
1973,9,2
1973,10,1.3
1973,11,4.3
1973,12,3
1974,1,4
1974,2,3.4
1974,3,4
1974,4,1.6
1974,5,1.6
1974,6,0.7
1974,7,1.9
1974,8,1.3
1974,9,1.8
1974,10,1.5
1974,11,-0.2
1974,12,0.3
1975,1,-0.8
1975,2,1.3
1975,3,2.6
1975,4,1.9
1975,5,1.1
1975,6,2.1
1975,7,3.1
1975,8,3.3
1975,9,3.4
1975,10,2.8
1975,11,1.9
1975,12,3.5
1976,1,2.3
1976,2,2.8
1976,3,2.9
1976,4,0.5
1976,5,0.6
1976,6,0.4
1976,7,-1.4
1976,8,-1.3
1976,9,-1.9
1976,10,0.7
1976,11,1.2
1976,12,-0.6
1977,1,-0.7
1977,2,2
1977,3,-0.9
1977,4,-0.7
1977,5,-0.8
1977,6,-1.5
1977,7,-1.9
1977,8,-1.3
1977,9,-1.3
1977,10,-1.7
1977,11,-2.1
1977,12,-1.7
1978,1,-0.5
1978,2,-4.4
1978,3,-0.3
1978,4,-0.5
1978,5,2.2
1978,6,1.1
1978,7,0.9
1978,8,0.7
1978,9,0.1
1978,10,-0.6
1978,11,0
1978,12,-0.1
1979,1,-0.7
1979,2,1.6
1979,3,0.2
1979,4,-0.2
1979,5,0.8
1979,6,1.1
1979,7,2.2
1979,8,-0.3
1979,9,0.2
1979,10,-0.2
1979,11,-0.7
1979,12,-1.2
1980,1,0.7
1980,2,0.5
1980,3,-0.7
1980,4,-1
1980,5,0
1980,6,0
1980,7,-0.1
1980,8,0.6
1980,9,-0.8
1980,10,0
1980,11,-0.6
1980,12,-0.1
1981,1,0.6
1981,2,-0.3
1981,3,-2.1
1981,4,-0.2
1981,5,1.3
1981,6,2
1981,7,1.4
1981,8,1.2
1981,9,0.5
1981,10,-0.6
1981,11,0.3
1981,12,0.8
1982,1,2
1982,2,0.4
1982,3,1
1982,4,0.1
1982,5,-0.6
1982,6,-1.7
1982,7,-2.5
1982,8,-2.9
1982,9,-2.9
1982,10,-2.8
1982,11,-4.3
1982,12,-3.7
1983,1,-5.8
1983,2,-6
1983,3,-4
1983,4,-1.5
1983,5,1
1983,6,0.1
1983,7,-1
1983,8,0.2
1983,9,1.4
1983,10,0.7
1983,11,-0.2
1983,12,0
1984,1,0.3
1984,2,1.4
1984,3,-0.4
1984,4,0.6
1984,5,0.3
1984,6,-0.6
1984,7,0.3
1984,8,0.7
1984,9,0.2
1984,10,-0.5
1984,11,0.4
1984,12,-0.2
1985,1,-0.5
1985,2,2
1985,3,1.3
1985,4,1.9
1985,5,0.7
1985,6,-0.6
1985,7,-0.2
1985,8,1.6
1985,9,0
1985,10,-0.6
1985,11,-0.3
1985,12,0.4
1986,1,1.6
1986,2,-1.7
1986,3,0.8
1986,4,0.5
1986,5,-0.4
1986,6,1.6
1986,7,0.5
1986,8,-0.6
1986,9,-0.8
1986,10,1.1
1986,11,-2
1986,12,-2.4
1987,1,-1.1
1987,2,-2.1
1987,3,-2.1
1987,4,-2.3
1987,5,-2.1
1987,6,-1.8
1987,7,-2.2
1987,8,-1.5
1987,9,-1.7
1987,10,-0.6
1987,11,0
1987,12,-0.8
1988,1,-0.2
1988,2,-0.6
1988,3,1.1
1988,4,0.2
1988,5,1.5
1988,6,0.1
1988,7,1.7
1988,8,2.5
1988,9,3
1988,10,2.3
1988,11,2.8
1988,12,2
1989,1,2.5
1989,2,2
1989,3,1.8
1989,4,2.7
1989,5,2
1989,6,1.2
1989,7,1.5
1989,8,-0.5
1989,9,0.8
1989,10,1.3
1989,11,-0.4
1989,12,-0.9
1990,1,-0.1
1990,2,-3
1990,3,-0.7
1990,4,0.3
1990,5,2
1990,6,0.5
1990,7,0.9
1990,8,-0.3
1990,9,-1.2
1990,10,0.4
1990,11,-0.8
1990,12,-0.4
1991,1,1
1991,2,0.4
1991,3,-1.1
1991,4,-1
1991,5,-1.7
1991,6,-0.2
1991,7,0
1991,8,-0.7
1991,9,-2.5
1991,10,-1.7
1991,11,-1.1
1991,12,-2.9
1992,1,-4.7
1992,2,-1.5
1992,3,-3.3
1992,4,-1.7
1992,5,0.4
1992,6,-1
1992,7,-1
1992,8,0.6
1992,9,0.1
1992,10,-2.3
1992,11,-1.1
1992,12,-0.9
1993,1,-1.5
1993,2,-1.2
1993,3,-0.8
1993,4,-1.9
1993,5,-0.6
1993,6,-1.4
1993,7,-1.3
1993,8,-1.6
1993,9,-1.2
1993,10,-1.8
1993,11,-0.1
1993,12,0.3
1994,1,-0.2
1994,2,0.4
1994,3,-1.1
1994,4,-2.1
1994,5,-1.1
1994,6,-0.7
1994,7,-2.2
1994,8,-2
1994,9,-2.6
1994,10,-1.9
1994,11,-0.9
1994,12,-2
1995,1,-0.7
1995,2,-0.2
1995,3,1.2
1995,4,-1.1
1995,5,-0.6
1995,6,0.2
1995,7,0.7
1995,8,0.5
1995,9,0.4
1995,10,0
1995,11,0.1
1995,12,-0.8
1996,1,1.6
1996,2,0.4
1996,3,1.9
1996,4,1.3
1996,5,0.5
1996,6,1.9
1996,7,1.1
1996,8,1.2
1996,9,1
1996,10,1
1996,11,-0.1
1996,12,1.5
1997,1,0.8
1997,2,2.9
1997,3,-0.7
1997,4,-1
1997,5,-2.2
1997,6,-2.3
1997,7,-1.2
1997,8,-2.4
1997,9,-2.4
1997,10,-2.4
1997,11,-2
1997,12,-1.6
1998,1,-4.4
1998,2,-3.4
1998,3,-4
1998,4,-2.4
1998,5,0.4
1998,6,1.6
1998,7,2
1998,8,1.9
1998,9,1.7
1998,10,1.8
1998,11,1.7
1998,12,2.3
1999,1,3
1999,2,1.6
1999,3,2.1
1999,4,2.3
1999,5,0.4
1999,6,0.4
1999,7,0.9
1999,8,0.6
1999,9,-0.1
1999,10,1.6
1999,11,1.7
1999,12,2.4
2000,1,1.1
2000,2,2.7
2000,3,2.2
2000,4,2
2000,5,0.6
2000,6,-0.3
2000,7,-0.3
2000,8,1.2
2000,9,1.4
2000,10,1.8
2000,11,3
2000,12,1.3
2001,1,1.6
2001,2,2.8
2001,3,1.5
2001,4,0.3
2001,5,-0.8
2001,6,0.5
2001,7,-0.3
2001,8,-0.7
2001,9,0.3
2001,10,-0.1
2001,11,1.1
2001,12,-1.4
2002,1,0.7
2002,2,1.8
2002,3,-0.4
2002,4,-0.1
2002,5,-1.4
2002,6,-0.4
2002,7,-0.8
2002,8,-1.6
2002,9,-1
2002,10,-0.6
2002,11,-0.7
2002,12,-1.8
2003,1,-0.3
2003,2,-1.1
2003,3,-0.5
2003,4,-0.2
2003,5,-0.5
2003,6,-1
2003,7,0.5
2003,8,0.2
2003,9,-0.2
2003,10,0
2003,11,-0.5
2003,12,1.8
2004,1,-2.2
2004,2,2
2004,3,0.7
2004,4,-1.5
2004,5,1.7
2004,6,-1.4
2004,7,-0.8
2004,8,-0.5
2004,9,-0.6
2004,10,-0.1
2004,11,-1.1
2004,12,-1.3
2005,1,0.6
2005,2,-5.2
2005,3,0.5
2005,4,-1
2005,5,-1.3
2005,6,0.7
2005,7,0.3
2005,8,-0.6
2005,9,0.6
2005,10,2
2005,11,-0.3
2005,12,0
2006,1,2.7
2006,2,0.2
2006,3,2.9
2006,4,1.8
2006,5,-0.8
2006,6,-0.4
2006,7,-1
2006,8,-1.7
2006,9,-1
2006,10,-2.1
2006,11,0.1
2006,12,-0.5
2007,1,-1.3
2007,2,-0.1
2007,3,0.3
2007,4,-0.2
2007,5,-0.2
2007,6,0.9
2007,7,-0.5
2007,8,0.7
2007,9,0.3
2007,10,1.2
2007,11,1.4
2007,12,2.7
2008,1,2.9
2008,2,4.4
2008,3,2.4
2008,4,1.1
2008,5,-0.1
2008,6,1
2008,7,0.5
2008,8,1.7
2008,9,2
2008,10,2.1
2008,11,2.2
2008,12,2.4
2009,1,1.8
2009,2,3.1
2009,3,0.7
2009,4,1.3
2009,5,-0.2
2009,6,0.2
2009,7,0.4
2009,8,-0.3
2009,9,0.5
2009,10,-2
2009,11,-1
2009,12,-1.2
2010,1,-1.8
2010,2,-2.4
2010,3,-1.1
2010,4,2
2010,5,1.5
2010,6,0.6
2010,7,3
2010,8,3
2010,9,3.7
2010,10,2.9
2010,11,2.1
2010,12,4.8
2011,1,3.8
2011,2,4.5
2011,3,4.2
2011,4,3.1
2011,5,0.6
2011,6,0.4
2011,7,1.6
2011,8,0.7
2011,9,1.7
2011,10,1.2
2011,11,1.8
2011,12,4.1
2012,1,1.8
2012,2,0.8
2012,3,1.2
2012,4,-0.4
2012,5,0.1
2012,6,-0.7
2012,7,-0.1
2012,8,-0.3
2012,9,0.4
2012,10,0.5
2012,11,0.4
2012,12,-1
2013,1,-0.1
2013,2,-0.4
2013,3,2.5
2013,4,0.4
2013,5,1.3
2013,6,2
2013,7,1.3
2013,8,0.3
2013,9,0.5
2013,10,-0.1
2013,11,1.2
2013,12,0.1
2014,1,2.4
2014,2,0.1
2014,3,-1.5
2014,4,1.3
2014,5,-999.9
2014,6,-999.9
2014,7,-999.9
2014,8,-999.9
2014,9,-999.9
2014,10,-999.9
2014,11,-999.9
2014,12,-999.9
2015,1,-999.9
2015,2,-999.9
2015,3,-999.9
2015,4,-999.9
2015,5,-999.9
2015,6,-999.9
2015,7,-999.9
2015,8,-999.9
2015,9,-999.9
2015,10,-999.9
2015,11,-999.9
2015,12,-999.9
2016,1,-999.9
2016,2,-999.9
2016,3,-999.9
2016,4,-999.9
2016,5,-999.9
2016,6,-999.9
2016,7,-999.9
2016,8,-999.9
2016,9,-999.9
2016,10,-999.9
2016,11,-999.9
2016,12,-999.9
2017,1,-999.9
2017,2,-999.9
2017,3,-999.9
2017,4,-999.9
2017,5,-999.9
2017,6,-999.9
2017,7,-999.9
2017,8,-999.9
2017,9,-999.9
2017,10,-999.9
2017,11,-999.9
2017,12,-999.9
2018,1,-999.9
2018,2,-999.9
2018,3,-999.9
2018,4,-999.9
2018,5,-999.9
2018,6,-999.9
2018,7,-999.9
2018,8,-999.9
2018,9,-999.9
2018,10,-999.9
2018,11,-999.9
2018,12,-999.9
2019,1,-999.9
2019,2,-999.9
2019,3,-999.9
2019,4,-999.9
2019,5,-999.9
2019,6,-999.9
2019,7,-999.9
2019,8,-999.9
2019,9,-999.9
2019,10,-999.9
2019,11,-999.9
2019,12,-999.9
2020,1,-999.9
2020,2,-999.9
2020,3,-999.9
2020,4,-999.9
2020,5,-999.9
2020,6,-999.9
2020,7,-999.9
2020,8,-999.9
2020,9,-999.9
2020,10,-999.9
2020,11,-999.9
2020,12,-999.9
